servRatePumpservRate    ArrivalRate StagionalitamaxPlaces   | toServe                  lost                     AvgQueueLen_vehicleQueue AvgQueueLen_cashier      AvgWait_vehicleQueue     AvgWait_cashier          Util_A                   Util_B                   Util_C                   Util_D                   
3.5         2.0         4.0         0.2         3.0         | 327.960 ± 2.823          32.650 ± 1.862           0.544 ± 0.016            0.640 ± 0.010            2.374 ± 0.069            2.806 ± 0.038            0.330 ± 0.010            0.457 ± 0.007            0.330 ± 0.009            0.454 ± 0.007            
3.5         2.0         4.0         0.5         3.0         | 324.760 ± 3.607          35.160 ± 2.346           0.551 ± 0.019            0.635 ± 0.012            2.423 ± 0.080            2.812 ± 0.043            0.327 ± 0.010            0.447 ± 0.008            0.329 ± 0.009            0.452 ± 0.006            
3.5         2.0         5.0         0.2         3.0         | 274.410 ± 2.910          12.450 ± 1.327           0.320 ± 0.015            0.513 ± 0.011            1.671 ± 0.072            2.685 ± 0.047            0.242 ± 0.008            0.394 ± 0.006            0.239 ± 0.009            0.393 ± 0.007            
3.5         2.0         5.0         0.5         3.0         | 268.700 ± 2.975          13.920 ± 1.121           0.320 ± 0.015            0.504 ± 0.011            1.700 ± 0.074            2.696 ± 0.045            0.239 ± 0.009            0.385 ± 0.007            0.241 ± 0.008            0.389 ± 0.006            
3.5         2.0         6.0         0.2         3.0         | 234.180 ± 2.909          5.130 ± 0.690            0.190 ± 0.012            0.411 ± 0.009            1.149 ± 0.066            2.523 ± 0.040            0.173 ± 0.007            0.346 ± 0.007            0.187 ± 0.007            0.346 ± 0.006            
3.5         2.0         6.0         0.5         3.0         | 233.940 ± 2.880          7.490 ± 0.837            0.218 ± 0.012            0.423 ± 0.010            1.331 ± 0.068            2.595 ± 0.050            0.186 ± 0.007            0.348 ± 0.006            0.182 ± 0.008            0.347 ± 0.007            
3.5         1.0         4.0         0.2         3.0         | 343.250 ± 3.471          17.170 ± 1.666           0.324 ± 0.015            0.282 ± 0.005            1.345 ± 0.057            1.183 ± 0.015            0.229 ± 0.008            0.383 ± 0.006            0.233 ± 0.007            0.384 ± 0.007            
3.5         1.0         4.0         0.5         3.0         | 340.850 ± 3.834          19.210 ± 1.473           0.328 ± 0.014            0.285 ± 0.005            1.376 ± 0.055            1.201 ± 0.017            0.236 ± 0.007            0.381 ± 0.006            0.228 ± 0.007            0.380 ± 0.007            
3.5         1.0         5.0         0.2         3.0         | 281.580 ± 3.537          6.070 ± 0.793            0.184 ± 0.011            0.226 ± 0.005            0.936 ± 0.052            1.153 ± 0.018            0.164 ± 0.006            0.325 ± 0.006            0.164 ± 0.007            0.327 ± 0.007            
3.5         1.0         5.0         0.5         3.0         | 282.590 ± 3.232          8.400 ± 1.080            0.206 ± 0.011            0.231 ± 0.004            1.042 ± 0.052            1.172 ± 0.018            0.173 ± 0.007            0.323 ± 0.006            0.174 ± 0.006            0.330 ± 0.007            
3.5         1.0         6.0         0.2         3.0         | 237.490 ± 2.678          2.320 ± 0.471            0.104 ± 0.006            0.191 ± 0.004            0.626 ± 0.035            1.157 ± 0.018            0.122 ± 0.005            0.290 ± 0.006            0.122 ± 0.005            0.286 ± 0.006            
